machine_type,air_temperature,process_temperature,torque,rotational_speed,tool_wear,machine_failure
L,298.7,309.0,35.1,1565,152,0
L,298.7,309.0,30.1,1691,154,0
L,298.8,309.1,40.7,1512,156,0
L,298.8,309.1,42.4,1477,158,0
L,298.8,309.1,40.3,1513,160,0
M,298.8,309.0,29.5,1661,162,0
L,298.8,309.1,54.4,1378,165,0
L,298.8,309.1,52.6,1393,167,0
M,298.8,309.0,38.2,1592,169,0
L,298.8,309.0,22.9,1829,172,0
M,298.9,309.0,25.9,1812,174,0
L,299.0,309.1,38.6,1523,177,0
L,299.0,309.1,45.1,1394,179,0
M,298.9,308.9,28.7,1679,181,0
H,298.8,308.9,44.1,1466,184,0
L,298.8,308.9,32.4,1527,189,0
L,298.9,309.0,65.7,1410,191,1
M,298.9,309.0,22.6,1924,193,0
L,298.9,309.1,45.5,1452,196,0
L,298.9,309.1,44.4,1369,198,0
L,299.0,309.1,35.0,1592,200,0
L,298.9,309.0,32.3,1601,202,0
L,298.8,308.9,46.7,1379,204,0
L,298.8,308.9,47.9,1461,206,0
L,298.8,308.9,41.3,1455,208,1
L,298.8,308.9,51.5,1398,0,0
L,298.8,308.9,37.9,1402,2,0
H,298.8,308.8,49.9,1445,4,0
L,298.9,308.9,47.5,1450,9,0
L,298.9,308.9,40.8,1453,11,0
L,299.0,309.0,40.1,1469,13,0
L,298.9,308.9,47.6,1422,15,0
M,299.0,309.0,26.8,1804,17,0
H,299.0,309.0,43.9,1436,20,0
L,299.0,309.0,31.8,1544,25,0
M,299.0,309.0,45.2,1419,27,0
M,298.9,308.9,39.5,1487,30,0
L,298.9,308.9,25.8,1753,33,0
L,298.9,308.9,24.9,1830,35,0
M,298.9,308.9,27.1,1727,37,0
L,299.1,309.0,43.0,1450,40,0
L,299.0,308.9,31.9,1622,42,0
M,299.0,309.0,52.2,1351,44,0
M,299.0,309.0,35.3,1575,47,0
M,298.9,308.9,29.9,1750,50,0
L,298.9,308.8,32.7,1529,53,0
L,298.8,308.8,44.4,1523,55,0
L,298.8,308.9,25.0,1852,57,0
L,298.8,308.8,20.7,1991,59,0
L,298.8,308.8,40.6,1555,61,0
M,298.8,308.8,40.5,1441,63,0
L,298.8,308.7,43.4,1450,66,0
L,298.8,308.7,31.1,1591,68,0
L,298.8,308.7,48.5,1445,70,0
M,298.8,308.8,46.8,1497,72,0
H,298.9,308.8,32.7,1621,75,0
L,298.9,308.7,34.1,1572,80,0
L,298.8,308.6,22.5,1872,82,0
H,298.7,308.6,43.5,1499,84,0
M,298.8,308.7,39.5,1498,89,0
M,298.8,308.6,41.9,1486,92,0
L,298.8,308.6,29.4,1680,95,0
L,298.8,308.6,45.7,1431,97,0
L,298.9,308.7,34.1,1564,99,0
L,298.8,308.6,33.0,1599,101,0
M,298.8,308.6,28.1,1707,103,0
L,298.7,308.5,40.7,1467,106,0
L,298.9,308.7,44.7,1433,108,0
L,298.9,308.7,41.2,1558,110,0
L,299.0,308.8,50.7,1310,112,0
L,298.9,308.7,43.4,1546,114,0
L,298.9,308.7,29.4,1727,116,0
L,298.9,308.6,32.2,1560,118,0
L,299.0,308.6,60.5,1329,120,0
L,298.9,308.6,46.5,1413,122,0
L,299.0,308.6,38.6,1587,124,0
L,298.9,308.5,34.3,1559,126,0
L,298.8,308.4,41.1,1473,128,0
L,298.8,308.4,27.7,1737,130,0
M,298.7,308.4,43.2,1441,132,0
M,298.7,308.4,49.6,1430,135,0
L,298.8,308.4,53.0,1369,138,0
M,298.8,308.5,28.5,1711,140,0
H,298.7,308.5,45.7,1420,143,0
L,298.7,308.6,55.3,1297,148,0
H,298.8,308.6,49.4,1449,150,0
L,298.8,308.6,55.8,1268,155,0
L,298.8,308.6,36.1,1511,157,0
L,298.7,308.5,35.2,1544,159,0
M,298.6,308.4,28.2,1778,161,0
H,298.6,308.4,50.5,1407,164,0
M,298.6,308.4,42.4,1391,169,0
L,298.5,308.4,33.6,1513,172,0
H,298.5,308.4,36.1,1612,174,0
L,298.4,308.4,40.1,1515,179,0
M,298.3,308.3,48.0,1379,181,0
L,298.4,308.3,39.9,1473,184,0
L,298.4,308.3,42.7,1422,186,0
M,298.4,308.2,37.6,1463,188,0
M,298.4,308.2,41.0,1584,191,0
L,298.4,308.2,27.0,1850,194,0
L,298.4,308.2,36.2,1528,196,0
H,298.4,308.2,19.8,1987,198,0
M,298.4,308.1,46.0,1495,203,0
H,298.4,308.2,43.5,1478,206,0
M,298.4,308.2,40.0,1499,211,0
L,298.4,308.2,47.0,1471,214,0
L,298.4,308.2,60.7,1282,216,1
L,298.3,308.1,52.3,1412,218,1
L,298.3,308.1,35.5,1586,0,0
M,298.4,308.2,43.8,1468,2,0
M,298.5,308.3,43.6,1440,5,0
L,298.5,308.4,26.0,1733,8,0
H,298.4,308.2,32.6,1612,10,0
H,298.4,308.3,42.9,1458,15,0
L,298.4,308.3,62.3,1433,20,1
L,298.4,308.3,59.1,1318,22,0
M,298.4,308.2,35.0,1610,24,0
L,298.2,308.1,50.8,1462,27,0
M,298.1,308.0,20.8,1924,29,0
M,298.2,308.0,33.7,1591,32,0
L,298.2,308.1,58.3,1306,35,0
L,298.2,308.1,43.5,1382,37,0
L,298.2,308.1,34.7,1618,39,0
L,298.2,308.2,21.4,1988,41,0
L,298.2,308.2,50.2,1436,43,0
L,298.2,308.3,49.8,1304,45,0
L,298.2,308.3,49.9,1475,47,0
H,298.2,308.3,24.2,1824,49,0
M,298.1,308.2,48.1,1342,54,0
L,298.1,308.2,40.7,1485,57,0
L,298.2,308.2,30.6,1667,59,0
L,298.2,308.2,38.2,1446,61,0
L,298.1,308.3,56.0,1301,63,0
L,298.2,308.4,43.1,1379,65,0
L,298.3,308.5,33.6,1606,67,0
M,298.3,308.4,43.4,1539,69,0
L,298.2,308.4,49.9,1477,72,0
L,298.2,308.4,34.6,1666,74,0
H,298.2,308.4,51.8,1398,76,0
H,298.2,308.4,34.6,1678,81,0
M,298.2,308.5,10.7,2678,86,1
L,298.3,308.5,42.9,1453,89,0
H,298.3,308.6,49.5,1432,91,0
M,298.4,308.6,40.9,1527,96,0
L,298.4,308.7,35.0,1588,99,0
L,298.4,308.6,47.1,1433,101,0
L,298.4,308.6,35.0,1609,103,0
L,298.3,308.5,41.2,1575,105,0
M,298.4,308.5,35.7,1636,107,0
L,298.4,308.5,37.9,1490,110,0
L,298.4,308.5,32.8,1741,112,0
M,298.5,308.6,53.0,1344,114,0
L,298.5,308.7,35.3,1609,117,0
M,298.4,308.7,60.7,1421,119,1
L,298.4,308.6,36.7,1591,122,0
L,298.4,308.6,44.0,1477,124,0
L,298.4,308.7,36.1,1523,126,0
L,298.5,308.7,33.9,1575,128,0
H,298.4,308.7,52.9,1344,130,0
L,298.4,308.7,44.9,1386,135,0
M,298.3,308.6,37.1,1589,137,0
L,298.3,308.6,40.3,1548,140,0
L,298.3,308.6,38.3,1499,142,0
L,298.3,308.5,31.6,1664,144,0
L,298.3,308.6,38.1,1447,146,0
M,298.3,308.5,46.2,1434,148,0
L,298.3,308.5,52.7,1416,151,0
H,298.4,308.5,24.3,1827,153,0
L,298.4,308.6,45.0,1304,158,0
L,298.4,308.6,34.4,1569,160,0
L,298.3,308.6,29.3,1584,162,0
L,298.3,308.5,53.8,1362,164,0
L,298.3,308.4,49.2,1329,166,0
L,298.3,308.5,36.1,1539,168,0
M,298.3,308.5,37.1,1629,170,0
L,298.3,308.5,32.2,1538,173,0
L,298.3,308.6,34.8,1570,175,0
L,298.3,308.4,43.1,1408,177,0
L,298.2,308.4,47.6,1424,179,0
L,298.2,308.4,34.9,1512,181,0
L,298.2,308.4,42.9,1478,183,0
M,298.1,308.3,33.7,1680,185,0
L,298.1,308.3,38.7,1495,188,0
M,298.0,308.1,36.6,1552,190,0
L,297.9,308.1,50.3,1393,193,0
L,298.0,308.2,30.6,1611,195,0
M,298.0,308.1,51.6,1339,197,0
L,298.0,308.1,24.3,1777,200,0
L,298.0,308.2,58.8,1348,202,1
L,298.0,308.2,44.1,1442,204,0
M,298.0,308.2,49.1,1395,206,0
M,297.9,308.1,31.4,1627,209,0
L,297.9,308.1,33.5,1585,212,0
L,298.0,308.2,45.5,1469,214,0
L,298.0,308.3,56.8,1362,216,1
L,298.0,308.3,56.2,1405,218,1
L,298.0,308.3,32.7,1662,0,0
M,298.0,308.2,42.6,1466,2,0
L,298.0,308.2,35.8,1620,5,0
L,298.0,308.2,48.2,1357,7,0
L,298.0,308.2,37.9,1514,9,0
L,298.0,308.2,40.4,1489,11,0
L,298.1,308.3,63.0,1331,13,0
L,298.0,308.0,29.5,1615,15,0
L,298.1,308.2,37.9,1482,17,0
M,298.1,308.2,63.9,1420,19,1
M,298.2,308.3,49.1,1522,22,0
L,298.1,308.2,32.1,1654,25,0
M,298.1,308.2,26.8,1736,27,0
M,298.0,308.1,32.3,1587,30,0
L,298.1,308.2,47.5,1390,33,0
L,298.0,308.1,37.1,1454,35,0
H,298.0,308.1,43.7,1440,37,0
L,297.9,308.0,21.1,1954,42,0
H,297.9,308.0,24.8,1800,44,0
L,298.0,308.0,37.0,1524,49,0
H,298.0,308.0,39.6,1520,51,0
M,298.1,308.1,40.8,1452,56,0
L,298.1,308.1,40.4,1484,59,0
L,298.1,308.0,46.0,1426,61,0
L,298.1,308.0,28.5,1652,63,0
L,298.0,308.0,54.7,1401,65,0
M,298.0,307.9,26.6,1750,67,0
H,298.0,308.0,50.7,1479,70,0
M,298.0,308.0,29.4,1620,75,0
L,298.0,308.1,23.4,1819,78,0
M,298.1,308.1,43.7,1456,80,0
L,298.1,308.0,36.5,1626,83,0
M,298.1,308.1,49.8,1390,85,0
L,298.2,308.2,43.0,1469,88,0
L,298.2,308.3,19.2,2051,90,0
L,298.2,308.3,36.0,1568,92,0
L,298.2,308.3,33.2,1589,94,0
L,298.2,308.3,31.6,1805,96,0
H,298.2,308.4,42.2,1385,98,0
L,298.1,308.4,46.7,1436,103,0
L,298.1,308.4,45.6,1438,105,0
L,298.0,308.3,42.6,1473,107,0
L,298.1,308.4,40.2,1335,109,0
H,298.1,308.5,44.8,1392,111,0
M,298.1,308.5,51.1,1372,116,0
M,298.1,308.6,30.7,1716,119,0
L,298.0,308.5,46.2,1395,122,0
L,298.0,308.5,25.3,1713,124,0
H,297.9,308.5,18.7,2129,126,0
M,297.8,308.3,35.6,1567,131,0
L,297.8,308.4,38.3,1622,134,0
L,297.7,308.4,27.1,1740,136,0
H,297.8,308.4,35.1,1512,138,0
M,297.8,308.4,43.5,1479,143,0
L,297.8,308.4,27.5,1737,146,0
L,297.8,308.4,19.2,2129,148,0
L,297.8,308.4,47.1,1374,150,0
M,297.8,308.4,36.6,1579,152,0
L,297.9,308.5,47.2,1305,155,0
M,297.9,308.5,40.8,1449,157,0
H,298.0,308.6,41.8,1526,160,0
M,298.0,308.6,44.1,1453,165,0
L,297.9,308.6,36.0,1468,168,0
L,298.0,308.6,50.8,1313,170,0
M,297.9,308.5,53.0,1300,172,0
L,297.9,308.4,40.6,1646,175,0
L,297.8,308.4,33.2,1714,177,0
L,297.8,308.4,28.4,1685,179,0
L,297.8,308.4,39.9,1512,181,0
L,297.8,308.4,32.1,1612,183,0
H,297.8,308.4,38.2,1550,185,0
L,297.8,308.4,32.5,1518,190,0
L,297.8,308.5,40.0,1448,192,0
L,297.8,308.5,46.3,1561,194,0
M,297.8,308.5,41.9,1488,196,0
L,297.8,308.5,27.8,1699,199,0
L,297.7,308.5,41.4,1501,201,0
L,297.7,308.5,56.7,1373,203,1
H,297.6,308.4,31.4,1703,205,0
H,297.7,308.5,29.9,1720,210,0
M,297.6,308.4,41.9,1398,215,0
M,297.6,308.4,51.9,1391,218,0
M,297.6,308.3,40.2,1538,0,0
L,297.5,308.2,31.3,1647,3,0
M,297.5,308.1,44.8,1469,5,0
L,297.4,308.1,25.9,1749,8,0
M,297.6,308.2,20.5,1995,10,0
L,297.6,308.3,27.7,1742,13,0
L,297.5,308.2,38.2,1563,15,0
M,297.5,308.2,32.2,1713,17,0
L,297.4,308.1,39.4,1474,20,0
M,297.4,308.2,32.6,1530,22,0
L,297.4,308.2,46.5,1471,25,0
L,297.5,308.3,48.6,1388,27,0
M,297.5,308.2,13.8,2448,29,0
L,297.5,308.3,32.9,1585,32,0
M,297.5,308.3,45.2,1459,34,0
L,297.5,308.3,40.8,1544,37,0
L,297.6,308.3,31.7,1617,39,0
L,297.6,308.3,34.3,1595,41,0
H,297.6,308.3,44.3,1400,43,0
M,297.6,308.4,31.0,1611,48,0
M,297.6,308.4,46.0,1507,51,0
H,297.5,308.3,30.0,1674,54,0
L,297.6,308.3,34.3,1658,59,0
L,297.6,308.3,36.9,1623,61,0
M,297.6,308.4,48.9,1398,63,0
L,297.6,308.4,34.2,1517,66,0
M,297.6,308.3,36.7,1467,68,0
M,297.6,308.3,34.6,1567,71,0
M,297.5,308.3,38.2,1521,74,0
L,297.5,308.3,36.8,1596,77,0
H,297.6,308.3,30.9,1640,79,0
L,297.6,308.3,47.8,1438,84,0
L,297.6,308.4,55.2,1407,86,0
L,297.6,308.4,57.5,1353,88,0
M,297.6,308.5,40.9,1552,90,0
M,297.6,308.4,38.3,1569,93,0
L,297.5,308.4,39.5,1489,96,0
H,297.5,308.4,36.1,1587,98,0
M,297.5,308.3,37.2,1622,103,0
L,297.5,308.4,38.1,1604,106,0
M,297.4,308.3,51.7,1405,108,0
L,297.4,308.3,42.0,1412,111,0
L,297.4,308.3,43.0,1431,113,0
L,297.4,308.2,37.4,1533,115,0
M,297.4,308.2,51.9,1401,117,0
M,297.4,308.2,53.9,1424,120,0
L,297.3,308.2,29.4,1754,123,0
L,297.3,308.2,26.8,1754,125,0
L,297.5,308.3,12.8,2564,127,1
L,297.5,308.5,40.4,1546,129,0
L,297.5,308.5,48.0,1335,131,0
M,297.5,308.6,27.0,1842,133,0
L,297.5,308.5,26.8,1712,136,0
M,297.6,308.6,45.4,1414,138,0
L,297.6,308.7,50.9,1319,141,0
L,297.7,308.7,60.4,1249,143,0
L,297.6,308.7,48.2,1455,145,0
M,297.6,308.7,54.8,1408,147,0
L,297.6,308.7,46.7,1460,150,0
L,297.6,308.6,38.1,1491,152,0
M,297.6,308.5,43.4,1490,154,0
M,297.5,308.4,52.2,1350,157,0
L,297.5,308.4,39.9,1528,160,0
L,297.4,308.3,37.7,1571,162,0
L,297.4,308.3,42.6,1490,164,0
M,297.4,308.3,28.9,1774,166,0
H,297.4,308.3,43.6,1502,169,0
L,297.4,308.4,49.7,1392,174,0
L,297.4,308.5,16.9,2100,176,0
L,297.5,308.5,30.4,1722,178,0
L,297.4,308.6,32.3,1678,180,0
L,297.3,308.6,59.8,1273,182,0
L,297.3,308.6,45.9,1297,184,0
L,297.3,308.5,57.6,1350,186,0
L,297.4,308.6,51.9,1439,188,0
M,297.4,308.5,42.1,1600,190,0
M,297.4,308.6,44.4,1434,193,0
L,297.4,308.6,41.3,1459,196,0
M,297.5,308.6,44.9,1472,198,0
L,297.5,308.7,44.3,1429,201,0
L,297.5,308.6,48.2,1388,203,0
L,297.4,308.4,34.5,1573,205,0
L,297.4,308.4,32.5,1588,207,0
L,297.5,308.4,42.8,1511,209,0
L,297.4,308.5,37.8,1495,211,0
L,297.4,308.4,50.1,1394,213,0
L,297.4,308.4,17.7,2151,0,0
M,297.3,308.3,38.2,1501,2,0
M,297.3,308.3,39.6,1301,5,0
M,297.3,308.3,31.1,1657,8,0
L,297.3,308.3,55.2,1333,11,0
L,297.3,308.3,43.9,1484,13,0
L,297.3,308.4,45.7,1430,15,0
M,297.3,308.4,28.9,1665,17,0
L,297.4,308.5,44.9,1501,20,0
M,297.5,308.5,42.2,1496,22,0
M,297.6,308.6,36.9,1595,25,0
L,297.5,308.6,62.3,1208,28,0
L,297.5,308.6,37.1,1596,30,0
L,297.5,308.5,41.9,1446,32,0
M,297.6,308.5,39.7,1466,34,0
M,297.6,308.5,23.7,1848,37,0
M,297.5,308.5,44.7,1484,40,0
L,297.4,308.3,41.2,1493,43,0
L,297.3,308.3,36.3,1504,45,0
L,297.3,308.3,38.5,1538,47,0
L,297.4,308.4,52.2,1341,49,0
M,297.4,308.3,34.6,1535,51,0
L,297.4,308.5,39.2,1389,54,0
H,297.5,308.5,46.6,1393,56,0
L,297.4,308.5,61.5,1399,61,1
H,297.4,308.5,45.1,1469,63,0
L,297.4,308.4,37.2,1582,68,0
L,297.5,308.6,26.7,1793,70,0
L,297.5,308.6,39.0,1452,72,0
M,297.6,308.7,59.9,1376,74,0
L,297.5,308.6,44.9,1552,77,0
L,297.6,308.7,37.9,1622,79,0
M,297.6,308.7,41.7,1419,81,0
H,297.5,308.6,46.1,1440,84,0
M,297.4,308.6,31.0,1643,89,0
L,297.4,308.7,36.2,1510,92,0
L,297.4,308.7,46.6,1468,94,0
L,297.4,308.7,57.4,1429,96,0
H,297.3,308.7,47.6,1478,98,0
L,297.4,308.6,53.6,1276,103,0
L,297.3,308.6,42.6,1486,105,0
L,297.4,308.6,42.3,1476,107,0
H,297.3,308.6,42.0,1431,109,0
L,297.4,308.7,40.2,1402,114,0
L,297.4,308.7,43.4,1433,116,0
L,297.4,308.7,4.2,2874,118,1
L,297.3,308.6,35.7,1511,120,0
M,297.3,308.6,42.9,1456,122,0
L,297.2,308.5,41.5,1550,125,0
L,297.2,308.5,16.5,2182,127,0
L,297.3,308.7,31.6,1619,129,0
M,297.3,308.8,32.7,1586,131,0
H,297.3,308.8,44.2,1499,134,0
H,297.3,308.8,42.4,1419,139,0
M,297.4,309.0,41.8,1497,144,0
M,297.4,309.0,37.0,1520,147,0
L,297.4,309.1,49.8,1478,150,0
L,297.4,309.1,41.1,1380,152,0
L,297.4,309.0,37.9,1570,154,0
H,297.4,309.0,41.4,1468,156,0
L,297.4,309.0,22.6,1833,161,0
M,297.4,308.9,57.3,1323,163,0
L,297.4,309.0,32.0,1583,166,0
M,297.3,309.0,39.5,1556,168,0
L,297.3,309.0,37.4,1548,171,0
L,297.4,309.0,56.9,1324,173,0
L,297.4,309.0,33.7,1568,175,0
M,297.4,309.0,30.7,1685,177,0
M,297.4,309.1,35.9,1582,180,0
M,297.4,309.1,35.0,1463,183,0
L,297.4,309.2,42.8,1584,186,0
M,297.5,309.2,55.8,1347,188,0
L,297.4,309.2,37.9,1459,191,0
L,297.4,309.2,45.6,1420,193,0
L,297.5,309.3,43.5,1404,195,0
L,297.5,309.3,38.8,1470,197,0
L,297.6,309.4,49.8,1326,199,0
H,297.5,309.3,49.7,1459,201,0
M,297.5,309.2,40.0,1530,206,0
L,297.4,309.0,39.2,1505,209,0
L,297.5,309.1,30.2,1611,211,0
L,297.5,309.1,35.1,1515,213,0
M,297.5,309.2,27.4,1804,215,0
M,297.6,309.3,46.2,1464,218,0
L,297.6,309.2,43.3,1390,221,0
M,297.6,309.2,48.1,1442,0,0
M,297.6,309.3,41.9,1529,3,0
L,297.6,309.3,35.0,1610,6,0
L,297.6,309.3,34.3,1543,8,0
H,297.8,309.4,48.2,1445,10,0
L,297.7,309.3,24.6,1893,15,0
M,297.6,309.3,41.3,1415,17,0
L,297.5,309.3,37.5,1564,20,0
L,297.5,309.3,39.4,1479,22,0
L,297.5,309.2,44.8,1426,24,0
L,297.4,309.2,38.8,1428,26,0
L,297.4,309.2,33.2,1620,28,0
L,297.5,309.2,28.0,1715,30,0
L,297.5,309.3,29.9,1732,32,0
M,297.5,309.4,58.2,1391,34,0
L,297.6,309.5,20.6,1924,37,0
M,297.7,309.5,19.8,2027,39,0
L,297.6,309.5,36.2,1617,42,0
L,297.5,309.4,35.8,1497,44,0
M,297.5,309.5,43.7,1448,46,0
L,297.4,309.4,45.9,1401,49,0
L,297.4,309.4,35.4,1620,51,0
L,297.4,309.4,45.5,1466,53,0
L,297.6,309.5,50.6,1373,55,0
M,297.6,309.6,35.8,1592,57,0
M,297.5,309.5,42.4,1553,60,0
L,297.6,309.5,36.2,1569,63,0
M,297.6,309.5,32.2,1709,65,0
L,297.6,309.5,34.9,1549,68,0
L,297.5,309.4,45.4,1443,70,0
L,297.5,309.3,29.8,1675,72,0
L,297.5,309.3,33.4,1623,74,0
H,297.4,309.3,52.4,1365,76,0
L,297.4,309.3,24.8,1759,81,0
H,297.4,309.3,43.0,1516,83,0
M,297.4,309.3,36.8,1499,88,0
M,297.4,309.3,25.8,1775,91,0
L,297.4,309.4,45.5,1473,94,0
L,297.4,309.4,52.3,1296,96,0
L,297.5,309.4,24.7,1803,98,0
H,297.5,309.3,36.1,1563,100,0
M,297.5,309.4,26.6,1831,105,0
L,297.6,309.4,22.1,1958,108,0
L,297.5,309.4,24.3,1809,110,0
M,297.5,309.4,39.3,1482,112,0
L,297.4,309.3,53.2,1332,115,0
L,297.4,309.2,40.4,1437,117,0
L,297.4,309.2,29.4,1698,119,0
L,297.4,309.2,54.3,1274,121,0
M,297.4,309.3,35.0,1622,123,0
M,297.4,309.3,36.0,1564,126,0
H,297.5,309.4,45.3,1368,129,0
M,297.4,309.4,42.2,1539,134,0
L,297.5,309.4,50.1,1357,137,0
M,297.5,309.4,48.3,1433,139,0
L,297.5,309.4,34.6,1650,142,0
L,297.5,309.4,40.6,1503,144,0
L,297.5,309.4,58.2,1318,146,0
M,297.5,309.4,34.4,1678,148,0
L,297.6,309.5,30.9,1574,151,0
L,297.7,309.6,35.2,1529,153,0
H,297.6,309.6,32.1,1669,155,0
H,297.7,309.7,35.8,1570,160,0
M,297.6,309.7,33.7,1541,165,0
M,297.7,309.7,30.2,1680,168,0
L,297.8,309.7,22.1,1935,171,0
M,297.7,309.6,35.2,1596,173,0
L,297.7,309.7,41.0,1498,176,0
M,297.8,309.8,29.0,1676,178,0
L,297.8,309.9,49.0,1351,181,0
L,297.9,309.9,45.0,1472,183,0
M,297.9,310.0,41.7,1439,185,0
M,297.9,309.9,55.4,1410,188,0
H,297.7,309.7,51.1,1440,191,0
L,297.7,309.7,37.7,1591,196,0
L,297.8,309.8,36.8,1533,198,0
M,297.8,309.7,31.3,1700,200,0
M,297.8,309.8,25.5,1798,203,0
L,297.8,309.7,42.9,1394,206,0
L,297.8,309.7,49.2,1341,208,0
H,297.7,309.6,32.2,1697,210,0
H,297.6,309.6,48.2,1419,215,0
L,297.6,309.5,20.5,2001,220,0
L,297.6,309.6,49.8,1501,222,1
H,297.6,309.5,33.1,1623,224,0
L,297.6,309.4,33.4,1628,229,0
L,297.6,309.4,40.2,1491,231,0
L,297.5,309.4,36.7,1517,233,0
H,297.5,309.3,41.7,1525,235,0
H,297.5,309.5,27.9,1668,240,0
L,297.5,309.6,50.7,1312,0,0
H,297.6,309.6,50.4,1278,2,0
M,297.6,309.6,53.1,1330,7,0
M,297.6,309.6,37.3,1530,10,0
H,297.6,309.6,46.6,1428,13,0
L,297.7,309.6,47.9,1480,18,0
H,297.7,309.7,31.1,1616,20,0
L,297.8,309.7,37.3,1547,25,0
L,297.9,309.7,16.8,2194,27,0
L,297.9,309.8,21.3,2000,29,0
L,297.9,309.8,71.6,1336,31,1
L,297.9,309.9,33.8,1542,33,0
M,297.9,309.8,29.9,1693,35,0
L,297.9,309.8,50.5,1461,38,0
M,298.0,309.9,33.9,1565,40,0
L,298.0,309.9,47.7,1403,43,0
L,298.1,309.9,32.5,1629,45,0
L,298.1,310.0,33.7,1534,47,0
L,298.1,310.0,40.9,1553,49,0
L,298.1,309.9,32.8,1563,51,0
L,298.1,309.9,30.0,1634,53,0
M,298.0,309.9,45.2,1445,55,0
L,298.1,309.9,30.4,1642,58,0
H,298.1,309.9,29.1,1686,60,0
M,298.1,310.0,43.1,1393,65,0
H,298.2,310.0,44.2,1433,68,0
L,298.3,310.0,44.7,1507,73,0
M,298.3,310.1,49.6,1389,75,0
L,298.3,310.1,45.3,1408,78,0
M,298.4,310.2,32.0,1725,80,0
L,298.4,310.1,23.7,1926,83,0
H,298.3,310.1,37.6,1509,85,0
L,298.3,310.1,36.3,1545,90,0
L,298.4,310.1,35.2,1533,92,0
L,298.4,310.1,42.2,1455,94,0
M,298.4,310.1,57.8,1335,96,0
L,298.3,310.1,45.9,1523,99,0
L,298.3,310.0,47.6,1460,101,0
L,298.4,310.0,37.3,1554,103,0
H,298.3,310.0,47.1,1419,105,0
L,298.3,310.0,43.9,1442,110,0
L,298.3,309.9,41.6,1507,112,0
L,298.3,310.0,23.9,1858,114,0
L,298.3,309.9,43.9,1463,116,0
L,298.2,309.7,37.4,1585,118,0
L,298.0,309.6,37.3,1536,120,0
L,298.0,309.6,51.3,1403,122,0
M,297.9,309.6,38.8,1515,124,0
L,297.9,309.5,47.9,1390,127,0
M,297.8,309.4,58.7,1226,129,0
M,297.8,309.4,36.5,1495,132,0
H,297.7,309.4,30.2,1608,135,0
L,297.7,309.4,44.1,1392,140,0
M,297.7,309.4,43.7,1461,142,0
L,297.7,309.3,36.9,1559,145,0
H,297.7,309.3,48.9,1400,147,0
M,297.7,309.2,28.8,1732,152,0
L,297.6,309.2,33.1,1611,155,0
L,297.6,309.1,38.9,1503,157,0
L,297.7,309.2,44.5,1391,159,0
L,297.8,309.3,20.1,2015,161,0
L,297.8,309.2,30.9,1683,163,0
L,297.7,309.1,38.8,1435,165,0
M,297.7,309.1,28.1,1732,167,0
L,297.7,309.2,58.6,1365,170,0
L,297.7,309.1,36.8,1562,172,0
L,297.6,309.1,49.1,1449,174,0
M,297.7,309.2,27.4,1700,176,0
M,297.6,309.0,45.6,1427,179,0
